id,format,rating,uploadtime
gen7nu-1010472518,[Gen 7] NU,1293.0,1573872901
gen7nu-1010475715,[Gen 7] NU,1272.0,1573873223
gen7nu-1010476718,[Gen 7] NU,1308.0,1573873823
gen7nu-1010477419,[Gen 7] NU,1061.0,1573873452
gen7nu-1010482928,[Gen 7] NU,1165.0,1573877323
gen7nu-1010484653,[Gen 7] NU,1059.0,1573877742
gen7nu-1010510796,[Gen 7] NU,1051.0,1573882026
gen7nu-1010548996,[Gen 7] NU,1121.0,1573890516
gen7nu-1010552419,[Gen 7] NU,1304.0,1573890963
gen7nu-1010562159,[Gen 7] NU,1009.0,1573893209
gen7nu-1010645028,[Gen 7] NU,1076.0,1573910857
gen7nu-1010648037,[Gen 7] NU,1108.0,1573911064
gen7nu-1010650641,[Gen 7] NU,1253.0,1573911602
gen7nu-1010657414,[Gen 7] NU,1049.0,1573912648
gen7nu-1010993486,[Gen 7] NU,1177.0,1573950648
gen7nu-1034114975,[Gen 7] NU,1027.0,1577066912
gen7nu-1034337596,[Gen 7] NU,1012.0,1577108453
gen7nu-1034376785,[Gen 7] NU,1154.0,1577114153
gen7nu-1034382341,[Gen 7] NU,1081.0,1577114560
gen7nu-1034386466,[Gen 7] NU,1089.0,1577115076
gen7nu-1035406671,[Gen 7] NU,1114.0,1577262038
gen7nu-1035408982,[Gen 7] NU,1047.0,1577262718
gen7nu-1035416812,[Gen 7] NU,1068.0,1577264791
gen7nu-1035861070,[Gen 7] NU,1027.0,1577340416
gen7nu-1036145727,[Gen 7] NU,1035.0,1577392245
gen7nu-1036719669,[Gen 7] NU,1069.0,1577483601
gen7nu-625145528,[Gen 7] NU,1270.0,1504205824
gen7nu-625151179,[Gen 7] NU,1286.0,1504206608
gen7nu-625156689,[Gen 7] NU,1175.0,1504207505
gen7nu-625162867,[Gen 7] NU,1065.0,1504208233
gen7nu-625169232,[Gen 7] NU,1030.0,1504209209
gen7nu-625171446,[Gen 7] NU,1520.0,1504209489
gen7nu-625184858,[Gen 7] NU,1152.0,1504211467
gen7nu-625200699,[Gen 7] NU,1081.0,1504213469
gen7nu-625202603,[Gen 7] NU,1460.0,1504213674
gen7nu-625202719,[Gen 7] NU,1222.0,1504213855
gen7nu-625203855,[Gen 7] NU,1152.0,1504213953
gen7nu-625208463,[Gen 7] NU,1111.0,1504214526
gen7nu-625211523,[Gen 7] NU,1271.0,1504215217
gen7nu-625217214,[Gen 7] NU,1177.0,1504215729
gen7nu-625246712,[Gen 7] NU,1024.0,1504220227
gen7nu-625256980,[Gen 7] NU,1067.0,1504221130
gen7nu-625258081,[Gen 7] NU,1031.0,1504221483
gen7nu-625291487,[Gen 7] NU,1161.0,1504226557
gen7nu-625318252,[Gen 7] NU,1163.0,1504230983
gen7nu-625319443,[Gen 7] NU,1216.0,1504231046
gen7nu-625330913,[Gen 7] NU,1203.0,1504233080
gen7nu-625510698,[Gen 7] NU,1032.0,1504278362
gen7nu-625516112,[Gen 7] NU,1071.0,1504279310
gen7nu-625517813,[Gen 7] NU,1108.0,1504279588
gen7nu-625531891,[Gen 7] NU,1283.0,1504281462
gen7nu-625551179,[Gen 7] NU,1329.0,1504283994
gen7nu-625561151,[Gen 7] NU,1207.0,1504285727
gen7nu-625564223,[Gen 7] NU,1047.0,1504286014
gen7nu-625586115,[Gen 7] NU,1184.0,1504288748
gen7nu-625593900,[Gen 7] NU,1296.0,1504289777
gen7nu-625599401,[Gen 7] NU,1166.0,1504290361
gen7nu-625621329,[Gen 7] NU,1031.0,1504293376
gen7nu-625628124,[Gen 7] NU,1098.0,1504294462
gen7nu-625632043,[Gen 7] NU,1369.0,1504294788
gen7nu-625632629,[Gen 7] NU,1184.0,1504294806
gen7nu-625635588,[Gen 7] NU,1031.0,1504295271
gen7nu-625646932,[Gen 7] NU,1160.0,1504296989
gen7nu-630074826,[Gen 7] NU,1164.0,1505108190
gen7nu-630079183,[Gen 7] NU,1060.0,1505109947
gen7nu-630103929,[Gen 7] NU,1094.0,1505120196
gen7nu-630119335,[Gen 7] NU,1084.0,1505126272
gen7nu-630133440,[Gen 7] NU,1050.0,1505130559
gen7nu-630162864,[Gen 7] NU,1090.0,1505137800
gen7nu-630163099,[Gen 7] NU,1022.0,1505137732
gen7nu-630167719,[Gen 7] NU,1060.0,1505138934
gen7nu-630174328,[Gen 7] NU,1152.0,1505140053
gen7nu-630195589,[Gen 7] NU,1280.0,1505144197
gen7nu-630213689,[Gen 7] NU,1033.0,1505146364
gen7nu-630215192,[Gen 7] NU,1087.0,1505146555
gen7nu-630220957,[Gen 7] NU,1149.0,1505147563
gen7nu-630229307,[Gen 7] NU,1060.0,1505148863
gen7nu-630246466,[Gen 7] NU,1299.0,1505151328
gen7nu-630276518,[Gen 7] NU,1033.0,1505155580
gen7nu-630284874,[Gen 7] NU,1240.0,1505156815
gen7nu-630308279,[Gen 7] NU,1175.0,1505159870
gen7nu-630319260,[Gen 7] NU,1039.0,1505161645
gen7nu-630354555,[Gen 7] NU,1064.0,1505166675
gen7nu-630356761,[Gen 7] NU,1114.0,1505167198
gen7nu-660366741,[Gen 7] NU,1048.0,1510852169
gen7nu-660380825,[Gen 7] NU,1058.0,1510854064
gen7nu-660400806,[Gen 7] NU,1125.0,1510857218
gen7nu-660409500,[Gen 7] NU,1174.0,1510858189
gen7nu-660415114,[Gen 7] NU,1312.0,1510858424
gen7nu-660415442,[Gen 7] NU,1353.0,1510858494
gen7nu-660436210,[Gen 7] NU,1141.0,1510861073
gen7nu-660459987,[Gen 7] NU,1330.0,1510865373
gen7nu-660478750,[Gen 7] NU,1127.0,1510866805
gen7nu-660479655,[Gen 7] NU,1270.0,1510866528
gen7nu-660505415,[Gen 7] NU,1240.0,1510870449
gen7nu-660545517,[Gen 7] NU,1083.0,1510877248
gen7nu-660551319,[Gen 7] NU,1311.0,1510877018
gen7nu-660552359,[Gen 7] NU,1074.0,1510877345
gen7nu-660554559,[Gen 7] NU,1067.0,1510878179
gen7nu-660559899,[Gen 7] NU,1118.0,1510878580
gen7nu-660562544,[Gen 7] NU,1061.0,1510878716
gen7nu-660563200,[Gen 7] NU,1076.0,1510878852
gen7nu-660600106,[Gen 7] NU,1408.0,1510885932
gen7nu-660601974,[Gen 7] NU,1220.0,1510885841
gen7nu-660611731,[Gen 7] NU,1288.0,1510887568
gen7nu-660636636,[Gen 7] NU,1317.0,1510892652
gen7nu-660644919,[Gen 7] NU,1147.0,1510894557
gen7nu-660649681,[Gen 7] NU,1130.0,1510895766
gen7nu-660652380,[Gen 7] NU,1035.0,1510896729
gen7nu-660660552,[Gen 7] NU,1398.0,1510899290
gen7nu-660669264,[Gen 7] NU,1157.0,1510903207
gen7nu-660675194,[Gen 7] NU,1381.0,1510904802
gen7nu-660685127,[Gen 7] NU,1070.0,1510908473
gen7nu-698709022,[Gen 7] NU,1085.0,1517696730
gen7nu-698721622,[Gen 7] NU,1092.0,1517698484
gen7nu-698731248,[Gen 7] NU,1245.0,1517700377
gen7nu-698740412,[Gen 7] NU,1424.0,1517700992
gen7nu-698740525,[Gen 7] NU,1053.0,1517701081
gen7nu-698746925,[Gen 7] NU,1022.0,1517701941
gen7nu-698768731,[Gen 7] NU,1153.0,1517705284
gen7nu-698774548,[Gen 7] NU,1370.0,1517705778
gen7nu-698779766,[Gen 7] NU,1061.0,1517706794
gen7nu-698789168,[Gen 7] NU,1118.0,1517708225
gen7nu-698797300,[Gen 7] NU,1028.0,1517709788
gen7nu-698804391,[Gen 7] NU,1176.0,1517710924
gen7nu-698805948,[Gen 7] NU,1037.0,1517710922
gen7nu-698811270,[Gen 7] NU,1127.0,1517711923
gen7nu-698814682,[Gen 7] NU,1163.0,1517712299
gen7nu-698817672,[Gen 7] NU,1203.0,1517713117
gen7nu-698818130,[Gen 7] NU,1249.0,1517712948
gen7nu-698821194,[Gen 7] NU,1160.0,1517713522
gen7nu-698822064,[Gen 7] NU,1053.0,1517713967
gen7nu-698826449,[Gen 7] NU,1153.0,1517714539
gen7nu-698832967,[Gen 7] NU,1170.0,1517715257
gen7nu-698833545,[Gen 7] NU,1052.0,1517715588
gen7nu-698834092,[Gen 7] NU,1149.0,1517715559
gen7nu-698838289,[Gen 7] NU,1183.0,1517716556
gen7nu-698843455,[Gen 7] NU,1072.0,1517716991
gen7nu-698845463,[Gen 7] NU,1062.0,1517717681
gen7nu-698882498,[Gen 7] NU,1025.0,1517725114
gen7nu-716139618,[Gen 7] NU,1087.0,1520722991
gen7nu-716144227,[Gen 7] NU,1145.0,1520723746
gen7nu-716151736,[Gen 7] NU,1093.0,1520724485
gen7nu-716154475,[Gen 7] NU,1340.0,1520724917
gen7nu-716158545,[Gen 7] NU,1212.0,1520725427
gen7nu-716166220,[Gen 7] NU,1181.0,1520726898
gen7nu-716171060,[Gen 7] NU,1265.0,1520727188
gen7nu-716172817,[Gen 7] NU,1132.0,1520727588
gen7nu-716214009,[Gen 7] NU,1319.0,1520733718
gen7nu-716225916,[Gen 7] NU,1362.0,1520735471
gen7nu-716241452,[Gen 7] NU,1158.0,1520738157
gen7nu-716243226,[Gen 7] NU,1163.0,1520738897
gen7nu-716254944,[Gen 7] NU,1229.0,1520740507
gen7nu-716257876,[Gen 7] NU,1201.0,1520740907
gen7nu-716258461,[Gen 7] NU,1311.0,1520741254
gen7nu-716266175,[Gen 7] NU,1161.0,1520742628
gen7nu-716273238,[Gen 7] NU,1037.0,1520743905
gen7nu-716274600,[Gen 7] NU,1063.0,1520744356
gen7nu-716283014,[Gen 7] NU,1493.0,1520746404
gen7nu-716285897,[Gen 7] NU,1111.0,1520746846
gen7nu-716287807,[Gen 7] NU,1073.0,1520746977
gen7nu-716294931,[Gen 7] NU,1009.0,1520748558
gen7nu-716305335,[Gen 7] NU,1497.0,1520751655
gen7nu-716326661,[Gen 7] NU,1249.0,1520758654
gen7nu-716330416,[Gen 7] NU,1414.0,1520759577
gen7nu-716330859,[Gen 7] NU,1198.0,1520759701
gen7nu-716331379,[Gen 7] NU,1439.0,1520759791
gen7nu-720958166,[Gen 7] NU,1010.0,1521581161
gen7nu-720973095,[Gen 7] NU,1105.0,1521582830
gen7nu-721005910,[Gen 7] NU,1223.0,1521588989
gen7nu-721014885,[Gen 7] NU,1060.0,1521589073
gen7nu-721017473,[Gen 7] NU,1148.0,1521589337
gen7nu-721019469,[Gen 7] NU,1053.0,1521589262
gen7nu-721020291,[Gen 7] NU,1154.0,1521589458
gen7nu-721029031,[Gen 7] NU,1060.0,1521590637
gen7nu-721049363,[Gen 7] NU,1095.0,1521594128
gen7nu-721079735,[Gen 7] NU,1054.0,1521598916
gen7nu-721087574,[Gen 7] NU,1085.0,1521600808
gen7nu-721091790,[Gen 7] NU,1080.0,1521600847
gen7nu-721094298,[Gen 7] NU,1135.0,1521601570
gen7nu-721099021,[Gen 7] NU,1053.0,1521602412
gen7nu-721102600,[Gen 7] NU,1132.0,1521603018
gen7nu-721105164,[Gen 7] NU,1243.0,1521603688
gen7nu-721112229,[Gen 7] NU,1126.0,1521605126
gen7nu-721115547,[Gen 7] NU,1436.0,1521605634
gen7nu-721116644,[Gen 7] NU,1575.0,1521606790
gen7nu-721128571,[Gen 7] NU,1069.0,1521608991
gen7nu-721133523,[Gen 7] NU,1327.0,1521610294
gen7nu-721136791,[Gen 7] NU,1109.0,1521611188
gen7nu-721138614,[Gen 7] NU,1090.0,1521612150
gen7nu-721145129,[Gen 7] NU,1080.0,1521614546
gen7nu-721168878,[Gen 7] NU,1255.0,1521622388
